ListName,DomainOwner,CRMType,PullOwner
AMQueueCompareConfig_S33_PULL,AMO/L8,MCCB,PIC
AreaModuleValidation_S33_PULL,AIT,Direct Pull,PIC
ASOMConfig_S33_PULL,AMO/L8,MCCB,MES
ASOMDispatchConfig_S33_PULL,AMO/L8,Direct Pull Special,PIC
AssembleLotAttributeRules_S33_PULL,MES,Users,Users
AutoMergeSplitConfig_S33_PULL,MES,Direct Pull Special,PIC
BOMAttachOpers_S33_PULL,SFC,Direct Pull,PIC
CascadeConfig_S33_PULL,AMO/L8,MCCB,PIC
ChainLogEventSetup_S33_PULL,MES,Direct Pull,PIC
ChildLotPlanConfigurationForSplitLotRework_S33_PULL,MES,Direct Pull,PIC
ClusterConfiguration_S33_PULL,AMO/L8,MCCB,PIC
ComplexPAPermutations_S33_PULL,MES,Direct Pull,PIC
ComponentLossCodes_S33_PULL,MES,Users,Users
CQTReworkOperGroups_S33_PULL,MES,Direct Pull,PIC
CriticalQueueTimeConfiguration_S33_PULL,AMO/L8,Direct Pull Special,PIC
CriticalQueueTimeConfigurationEx_S33_PULL,AMO/L8,Direct Pull Special,PIC
CustomizationMap_S33_PULL,AMO/L8,MCCB,PIC
DieTraynLidPMDueMaxCounts_S33_PULL,MES,Direct Pull,PIC
DOCLotDieBonusCodes_S33_PULL,MES,MCCB,PIC
DOCLotDieLossCodes_S33_PULL,AIT,Direct Pull,PIC
EquipModel_S33_PULL,AIT,Direct Pull,PIC
EquipProcessing_S33_PULL,AIT,Direct Pull,PIC
ExceptionNotificationConfiguration_S33_PULL,AMO/L8,MCCB,PIC
ExcludeFromL8Processing_S33_PULL,AMO/L8,MCCB,PIC
FOUPCarrierConfigurations_S33_PULL,MES,Direct Pull,PIC
FOUPCarrierOperationValidation_S33_PULL,AIT,Direct Pull,PIC
FOUPCarrierType_S33_PULL,AIT,Direct Pull,PIC
FunctionalAreaValidation_S33_PULL,WIP,Direct Pull,PIC
GlassWaferConstants_S33_PULL,MES,Direct Pull,PIC
Groups_S33_PULL,AIT,Direct Pull,PIC
IncludeMOQEventsEntities_S33_PULL,AMO/L8,Direct Pull,PIC
IntelErrorCodes_S33_PULL,MES,Direct Pull,PIC
L8CustomizationPointWFConfig_S33_PULL,AMO/L8,MCCB,PIC
LossCodes_S33_PULL,AIT,Direct Pull,PIC
LotAttributeSortDestinationValidationList_S33_PULL,MES,Direct Pull,MES
MergeLotAttributesRules_S33_PULL,MES,Users,Users
OperationAttributes_S33_PULL,MES,Direct Pull,PIC
OperationWorkflowDefinition_S33_PULL,WIP,Direct Pull Special,PIC
PartialWaferDieLossCodes_S33_PULL,AIT,Users,Users
PFCFunctionalTypes_S33_PULL,WIP,Direct Pull,PIC
PFCMaskAlignments_S33_PULL,WIP,Direct Pull,PIC
